116,South Africa,0.666,57.4,13.6,9.9,12122,–29
116,VietNam,0.666,75.8,11.9,7.5,5092,15
119,Bolivia,0.662,68.3,13.2,8.2,5760,4
120,Kyrgyzstan,0.655,70.6,12.5,10.6,3044,29
121,Iraq,0.654,69.4,10.1,6.4,14003,–44
122,Cabo Verde,0.646,73.3,13.5,4.7,6094,–1
123,Micronesia,0.640,69.1,11.7,9.7,3432,21
124,Guyana,0.636,66.4,10.3,8.5,6522,–4
125,Nicaragua,0.631,74.9,11.5,6.0,4457,12
126,Morocco,0.628,74.0,11.6,4.4,6850,–8
126,Namibia,0.628,64.8,11.3,6.2,9418,–21
128,Guatemala,0.627,71.8,10.7,5.6,6929,–11
129,Tajikistan,0.624,69.4,11.2,10.4,2517,27
130,India,0.609,68.0,11.7,5.4,5497,–4
131,Honduras,0.606,73.1,11.1,5.5,3938,7
132,Bhutan,0.605,69.5,12.6,3.0,7176,–17
133,Timor-Leste,0.595,68.2,11.7,4.4,5363,–6
134,Syria,0.594,69.6,12.3,6.3,2728,21
134,Vanuatu,0.594,71.9,10.6,6.8,2803,19
136,Congo,0.591,62.3,11.1,6.1,6012,–14
137,Kiribati,0.590,66.0,12.3,7.8,2434,21
138,Equatorial Guinea,0.587,57.6,9.0,5.5,21056,–84
139,Zambia,0.586,60.1,13.5,6.6,3734,2
140,Ghana,0.579,61.4,11.5,7.0,3852,–1
141,Lao,0.575,66.2,10.6,5.0,4680,–6
142,Bangladesh,0.570,71.6,10.0,5.1,3191,5
143,Cambodia,0.555,68.4,10.9,4.4,2949,7
143,Sao Tome and Principe,0.555,66.5,11.3,4.7,2918,8
145,Kenya,0.548,61.6,11.0,6.3,2762,9
145,Nepal,0.548,69.6,12.4,3.3,2311,16
147,Pakistan,0.538,66.2,7.8,4.7,4866,–14
148,Myanmar,0.536,65.9,8.6,4.1,4608,–12
149,Angola,0.532,52.3,11.4,4.7,6822,–30
150,Swaziland,0.531,49.0,11.3,7.1,5542,–25
151,Tanzania,0.521,65.0,9.2,5.1,2411,8
152,Nigeria,0.514,52.8,9.0,5.9,5341,–24
153,Cameroon,0.512,55.5,10.4,6.0,2803,–1
154,Madagascar,0.510,65.1,10.3,6.0,1328,24
155,Zimbabwe,0.509,57.5,10.9,7.3,1615,13
156,Mauritania,0.506,63.1,8.5,3.8,3560,–14
156,Solomon Islands,0.506,67.9,9.2,5.0,1540,16
158,Papua New Guinea,0.505,62.6,9.9,4.0,2463,–1
159,Comoros,0.503,63.3,11.5,4.6,1456,16
160,Yemen,0.498,63.8,9.2,2.6,3519,–17
161,Lesotho,0.497,49.8,11.1,5.9,3306,–16
162,Togo,0.484,59.7,12.2,4.5,1228,17
163,Haiti,0.483,62.8,8.7,4.9,1669,4
163,Rwanda,0.483,64.2,10.3,3.7,1458,11
163,Uganda,0.483,58.5,9.8,5.4,1613,6
166,Benin,0.480,59.6,11.1,3.3,1767,0
167,Sudan,0.479,63.5,7.0,3.1,3809,–27
168,Djibouti,0.470,62.0,6.4,3.8,3276,–22
169,South Sudan,0.467,55.7,7.6,5.4,2332,–9
170,Senegal,0.466,66.5,7.9,2.5,2188,–8
171,Afghanistan,0.465,60.4,9.3,3.2,1885,–7
172,Côte d’Ivoire,0.462,51.5,8.9,4.3,3171,–24
173,Malawi,0.445,62.8,10.8,4.3,747,13
174,Ethiopia,0.442,64.1,8.5,2.4,1428,2
175,Gambia,0.441,60.2,8.8,2.8,1507,–2
176,Congo,0.433,58.7,9.8,6.0,680,11
177,Liberia,0.430,60.9,9.5,4.1,805,7
178,Guinea-Bissau,0.420,55.2,9.0,2.8,1362,–1
179,Mali,0.419,58.0,8.4,2.0,1583,–8
180,Mozambique,0.416,55.1,9.3,3.2,1123,1
181,Sierra Leone,0.413,50.9,8.6,3.1,1780,–16
182,Guinea,0.411,58.8,8.7,2.4,1096,0
183,Burkina Faso,0.402,58.7,7.8,1.4,1591,–13
184,Burundi,0.400,56.7,10.1,2.7,758,1
185,Chad,0.392,51.6,7.4,1.9,2085,–22
186,Eritrea,0.391,63.7,4.1,3.9,1130,–6
187,Central African Republic,0.350,50.7,7.2,4.2,581,1
188,Niger,0.348,61.4,5.4,1.5,908,–5
