"country","gunOwnershipRate","homicideRate","grossNationalIncomePerCapita","HDIRank","HDIValue","homicideByFirearmRate","lifeExpectancyAtBirth","meanYearsOfSchooling","region","subregion"
"Switzerland",45.7,0.6,56431,3,0.93,0.77,83,12.8,"Europe","Western Europe"
"Syria",3.9,2.2,2728,134,0.594,NA,69.6,6.3,"Asia","Western Asia"
"Tajikistan",1,1.6,2517,129,0.624,0.22,69.4,10.4,"Asia","Central Asia"
"Tanzania",1.4,12.7,2411,151,0.521,NA,65,5.1,"Africa","Eastern Africa"
"Thailand",15.6,5,13323,93,0.726,NA,74.4,7.3,"Asia","South-Eastern Asia"
"Togo",1,10.3,1228,162,0.484,NA,59.7,4.5,"Africa","Western Africa"
"Trinidad and Tobago",1.6,28.3,26090,64,0.772,27.31,70.4,10.9,"Americas","Caribbean "
"Tunisia",0.1,2.2,10404,96,0.721,NA,74.8,6.8,"Africa","Northern Africa"
"Turkey",12.5,2.6,18677,72,0.761,0.77,75.3,7.6,"Asia","Western Asia"
"Turkmenistan",3.8,12.8,13066,109,0.688,0.1,65.6,9.9,"Asia","Central Asia"
"Uganda",1.4,10.7,1613,163,0.483,0.87,58.5,5.4,"Africa","Eastern Africa"
"Ukraine",6.6,4.3,8178,81,0.747,0.22,71,11.3,"Europe","Eastern Europe"
"United Arab Emirates",22.1,2.6,60868,41,0.835,NA,77,9.5,"Asia","Western Asia"
"United States",112.6,3.8,52947,8,0.915,2.97,79.1,12.9,"Americas","Northern America"
"Uruguay",31.8,7.9,19283,52,0.793,2.8,77.2,8.5,"Americas","South America"
"Uzbekistan",1.5,3.7,5567,114,0.675,NA,68.4,10.9,"Asia","Central Asia"
"Venezuela",10.7,53.7,16159,71,0.762,38.97,74.2,8.9,"Americas","South America"
"Yemen",54.8,4.8,3519,160,0.498,NA,63.8,2.6,"Asia","Western Asia"
"Zambia",8.9,10.7,3734,139,0.586,0.35,60.1,6.6,"Africa","Eastern Africa"
"Zimbabwe",4.6,10.6,1615,155,0.509,4.78,57.5,7.3,"Africa","Eastern Africa"
